Calories,CaloriesFat,TransFat,Cholesterol,Sodium,Carbohydrates,Sugars,Protein,Fatty
310,0,0,10,180,63,59,16,0
190,0,0,5,115,39,37,10,0
240,0,0,5,140,49,46,12,0
300,0,0,10,180,60,56,16,0
140,0,0,5,150,24,13,10,0
170,0,0,5,180,30,16,12,0
220,0,0,10,240,38,21,16,0
340,100,0,35,150,49,42,10,0
410,120,0,40,190,60,53,13,0
500,150,0,50,240,72,63,16,0
270,30,0,15,150,49,43,11,0
330,30,0,15,190,60,53,13,0
390,35,0,20,240,73,64,17,0
320,100,0,35,170,45,40,10,0
390,120,0,40,220,55,50,12,0
480,150,0,50,270,66,60,16,0
250,30,0,15,170,45,41,10,0
310,30,0,15,210,56,51,13,0
370,35,0,20,270,67,61,17,0
360,120,0,40,180,50,45,11,0
440,140,0,50,220,61,56,14,0
540,180,0,60,280,73,68,17,0
280,30,0,15,180,50,46,12,0
340,30,0,15,220,61,57,14,0
400,35,0,20,280,74,69,19,0
140,40,0,15,35,23,22,1,0
190,60,0,25,50,31,30,1,0
270,80,0,35,75,47,45,2,0
130,40,0,15,35,22,21,1,0
180,60,0,25,50,29,28,1,0
260,80,0,35,65,43,42,2,0
130,40,0,15,35,21,20,1,0
180,60,0,25,50,29,28,1,0
250,80,0,35,75,43,41,2,0
120,40,0,15,40,20,19,1,0
170,60,0,25,55,27,26,1,0
240,80,0,35,80,41,39,2,0
80,40,0,15,65,9,1,1,0
120,60,0,25,90,12,2,1,0
160,80,0,35,135,18,2,2,0
290,100,0,35,125,41,34,8,0
350,110,0,40,150,50,43,9,0
480,150,0,50,220,70,62,14,0
240,45,0,20,125,41,35,8,0
290,45,0,20,150,50,43,10,0
390,50,0,25,220,71,62,14,0
280,100,0,35,140,38,33,8,0
340,110,0,40,170,46,41,9,0
460,150,0,50,250,65,59,13,0
230,45,0,20,140,38,33,8,0
270,45,0,20,170,47,41,10,0
370,50,0,25,250,65,59,14,0
450,160,1,65,125,65,57,7,1
550,200,1,75,160,80,71,9,1
670,240,1,90,190,98,88,11,1
450,170,1,65,125,64,57,7,1
550,200,1,80,160,79,71,9,1
670,250,0,95,190,96,88,11,0
530,200,1,65,135,76,67,8,1
630,240,1,80,160,91,81,9,1
760,280,0,95,200,111,99,12,0
220,5,0,5,40,50,44,2,0
260,5,0,5,50,62,54,3,0
340,10,0,5,65,79,70,4,0
210,5,0,5,50,47,44,3,0
250,5,0,5,60,58,54,4,0
330,10,0,5,80,74,70,5,0
210,5,0,5,40,50,46,2,0
260,10,0,5,45,61,56,3,0
340,10,0,5,60,78,72,4,0
530,140,1,60,160,86,63,11,1
660,170,1,75,200,109,81,14,1
820,210,1,90,260,135,101,18,1
550,150,1,60,160,90,79,12,1
690,180,1,75,210,114,100,15,1
850,210,1,90,260,140,123,18,1
560,150,1,60,240,91,77,12,1
700,180,1,75,300,114,97,15,1
850,210,1,85,380,141,120,19,1
660,170,1,75,210,109,93,14,1
820,210,1,90,260,135,115,18,1
650,210,0,50,180,96,89,13,0
930,290,1,75,260,139,128,20,1
430,140,0,35,120,64,59,9,0
510,150,0,45,280,80,64,12,0
690,200,1,55,380,106,85,15,1
340,100,0,30,190,53,43,8,0
810,290,1,60,400,114,103,21,1
410,150,0,30,200,57,51,10,0
